price_cr,area_sqm,bhk,bathroom,balcony,addl_room,sector,landmark_count,has_hospital_or_clinic,has_police_stn,has_fire_stn,has_mall,has_market,has_park,has_bank_or_atm,has_institute,has_airport,has_rly_stn,has_metro_stn,has_expy,has_petrol_pump,has_hotel,has_temple_or_church,has_famous_chowk,has_club,has_stadium,has_restro_cafe,area_type,floor_rise,age,society,city
0.74,112.41,2,2,3,0,33,6,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,carpet,high,new,ashiana mulberry,sohna
3.2,185.99,3,3,3,1,106,9,1,0,0,1,0,1,0,2,0,1,2,2,0,0,0,0,0,0,0,carpet,mid,new,godrej meridien,gurgaon
1.3,182.09,4,4,3,1,82,11,0,0,0,1,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,super built up,low,new,mapsko casa bella,gurgaon
0.25,65.03,2,2,2,0,3,46,3,0,0,0,0,0,1,1,0,3,0,0,0,0,3,0,0,0,3,carpet,low,new,pooja apartment,gurgaon
0.95,112.48,3,2,3,0,33,8,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,built up,low,new,signature global park,sohna
1.99,253.35,4,4,3,1,90,6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,carpet,high,new,dlf new town heights 1,gurgaon
1.05,128.67,2,2,2,0,106,11,1,0,0,1,0,1,0,2,1,0,1,1,0,1,0,0,0,0,0,carpet,mid,new,paras dews,gurgaon
1.83,169.92,3,3,3,0,85,8,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,carpet,high,mid aged,godrej air,gurgaon
2.25,195.1,3,3,3,1,82,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,carpet,high,new,dlf the primus,gurgaon
2.8,153.29,3,3,3,1,65,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,carpet,low,new,emaar mgf emerald floors premier,gurgaon
1.6,102.19,2,2,2,0,28,45,5,0,0,0,1,0,8,1,0,0,3,0,1,0,2,0,0,0,4,carpet,low,new,dlf regency park 1,gurgaon
