iter	Passed	Remaining
461	780	908
462	781	906
463	782	903
464	783	901
465	785	899
466	786	897
467	787	895
468	789	893
469	790	891
470	791	889
471	793	887
472	794	884
473	795	882
474	796	880
475	798	878
476	799	876
477	800	874
478	802	872
479	803	870
480	804	868
481	805	866
482	807	863
483	808	862
484	809	859
485	811	857
486	812	855
487	813	853
488	814	851
489	816	849
490	817	847
491	818	845
492	819	843
493	821	841
494	822	839
495	823	837
496	825	835
497	826	832
498	827	830
499	828	828
500	829	826
501	831	824
502	832	822
503	833	820
504	835	818
505	836	816
506	837	814
507	838	812
508	840	810
509	841	808
510	842	806
511	844	804
512	845	802
513	846	800
514	847	798
515	849	796
516	850	795
517	852	793
518	853	791
519	855	789
520	857	787
521	858	786
522	859	784
523	861	782
524	862	780
525	863	778
526	865	776
527	866	774
528	867	772
529	869	770
530	870	768
531	871	767
532	873	765
533	874	763
534	875	761
535	877	759
536	878	757
537	879	755
538	880	753
539	882	751
540	883	749
541	885	748
542	886	746
543	887	744
544	889	742
545	890	740
546	891	738
547	892	736
548	894	734
549	895	732
550	896	730
551	898	729
552	899	727
553	900	725
554	901	723
555	903	721
556	904	719
557	905	717
558	906	715
559	908	713
560	909	711
561	910	709
562	911	707
563	913	705
564	914	704
565	915	702
566	917	700
567	918	698
568	919	696
569	920	694
570	922	692
571	923	690
572	924	688
573	925	687
574	927	685
575	928	683
576	929	681
577	931	679
578	932	678
579	933	676
580	935	674
581	936	672
582	937	670
583	938	668
584	940	667
585	941	665
586	943	663
587	944	662
588	946	660
589	948	658
590	949	657
591	951	655
592	952	653
593	954	652
594	956	650
595	957	649
596	959	647
597	961	646
598	962	644
599	964	642
600	966	641
601	968	639
602	969	638
603	971	636
604	972	634
605	973	633
606	975	631
607	976	629
608	978	628
609	980	626
610	981	625
611	983	623
612	984	621
613	985	619
614	987	617
615	988	616
616	989	614
617	990	612
618	991	610
619	993	608
620	994	607
621	996	605
622	997	603
623	998	601
624	1000	600
625	1002	598
626	1003	596
627	1004	595
628	1006	593
629	1007	591
630	1008	589
631	1010	588
632	1011	586
633	1013	585
634	1014	583
635	1016	581
636	1017	579
637	1019	578
638	1020	576
639	1021	574
640	1023	573
641	1024	571
642	1026	569
643	1027	568
644	1029	566
645	1030	564
646	1032	563
647	1033	561
648	1034	559
649	1036	557
650	1037	556
651	1038	554
652	1039	552
653	1041	550
654	1042	549
655	1044	547
656	1045	545
657	1046	544
658	1048	542
659	1049	540
660	1051	539
661	1052	537
662	1054	535
663	1055	534
664	1057	532
665	1058	530
666	1060	529
667	1061	527
668	1063	526
669	1064	524
670	1065	522
671	1067	520
672	1068	519
673	1069	517
674	1071	515
675	1072	513
676	1073	512
677	1075	510
678	1076	509
679	1078	507
680	1079	505
681	1080	503
682	1082	502
683	1083	500
684	1084	498
685	1085	497
686	1087	495
687	1088	493
688	1089	491
689	1091	490
690	1092	488
691	1093	486
692	1095	485
693	1096	483
694	1098	482
695	1099	480
696	1101	478
697	1102	477
698	1104	475
699	1105	473
700	1107	472
701	1108	470
702	1109	468
703	1111	467
704	1112	465
705	1114	463
706	1115	462
707	1116	460
708	1117	458
709	1119	457
710	1120	455
711	1121	453
712	1123	452
713	1124	450
714	1126	448
715	1127	447
716	1129	445
717	1130	443
718	1131	442
719	1132	440
720	1133	438
721	1135	437
722	1136	435
723	1137	433
724	1139	432
725	1140	430
726	1141	428
727	1143	427
728	1144	425
729	1145	423
730	1146	421
731	1147	420
732	1149	418
733	1150	416
734	1151	415
735	1153	413
736	1154	412
737	1156	410
738	1157	408
739	1159	407
740	1160	405
741	1161	404
742	1163	402
743	1164	400
744	1165	398
745	1166	397
746	1168	395
747	1169	393
748	1170	392
749	1172	390
750	1173	389
751	1174	387
752	1175	385
753	1177	384
754	1178	382
755	1179	380
756	1181	379
757	1182	377
758	1183	375
759	1184	374
760	1186	372
761	1187	370
762	1188	369
763	1190	367
764	1191	365
765	1192	364
766	1193	362
767	1194	360
768	1196	359
769	1197	357
770	1198	356
771	1199	354
772	1201	352
773	1202	351
774	1203	349
775	1205	347
776	1206	346
777	1207	344
778	1208	342
779	1210	341
780	1211	339
781	1212	338
782	1213	336
783	1215	334
784	1216	333
785	1217	331
786	1219	329
787	1220	328
788	1221	326
789	1223	325
790	1224	323
791	1225	321
792	1226	320
793	1227	318
794	1229	316
795	1230	315
796	1231	313
797	1232	312
798	1234	310
799	1235	308
800	1237	307
801	1238	305
802	1239	304
803	1240	302
804	1242	300
805	1243	299
806	1244	297
807	1245	296
808	1247	294
809	1248	292
810	1249	291
811	1250	289
812	1252	288
813	1253	286
814	1254	284
815	1256	283
816	1257	281
817	1258	279
818	1259	278
819	1260	276
820	1262	275
821	1263	273
822	1264	271
823	1265	270
824	1267	268
825	1268	267
826	1270	265
827	1271	264
828	1273	262
829	1274	261
830	1275	259
831	1276	257
832	1278	256
833	1279	254
834	1280	253
835	1281	251
836	1283	249
837	1284	248
838	1285	246
839	1287	245
840	1288	243
841	1289	242
842	1290	240
843	1292	238
844	1293	237
845	1294	235
846	1295	234
847	1297	232
848	1298	230
849	1299	229
850	1301	227
851	1302	226
852	1303	224
853	1304	223
854	1306	221
855	1307	219
856	1308	218
857	1309	216
858	1311	215
859	1312	213
860	1313	212
861	1314	210
862	1316	208
863	1317	207
864	1318	205
865	1320	204
866	1321	202
867	1322	201
868	1323	199
869	1325	198
870	1326	196
871	1327	194
872	1328	193
873	1330	191
874	1331	190
875	1332	188
876	1334	187
877	1335	185
878	1336	183
879	1337	182
880	1339	180
881	1340	179
882	1341	177
883	1342	176
884	1344	174
885	1345	173
886	1346	171
887	1347	169
888	1349	168
889	1350	166
890	1351	165
891	1353	163
892	1354	162
893	1355	160
894	1356	159
895	1358	157
896	1359	156
897	1360	154
898	1361	153
899	1363	151
900	1364	149
901	1366	148
902	1367	146
903	1369	145
904	1370	143
905	1371	142
906	1372	140
907	1374	139
908	1375	137
909	1376	136
910	1377	134
911	1379	133
912	1380	131
913	1381	130
914	1383	128
915	1384	126
916	1385	125
917	1387	123
918	1388	122
919	1389	120
920	1390	119
921	1392	117
922	1393	116
923	1394	114
924	1395	113
925	1397	111
926	1398	110
927	1399	108
928	1401	107
929	1402	105
930	1403	104
931	1404	102
932	1406	100
933	1407	99
934	1408	97
935	1409	96
936	1411	94
937	1412	93
938	1414	91
939	1415	90
940	1416	88
941	1417	87
942	1418	85
943	1420	84
944	1421	82
945	1422	81
946	1423	79
947	1425	78
948	1426	76
949	1427	75
950	1429	73
951	1430	72
952	1431	70
953	1432	69
954	1434	67
955	1435	66
956	1436	64
957	1437	63
958	1438	61
959	1440	60
960	1441	58
961	1442	56
962	1443	55
963	1445	53
964	1446	52
965	1447	50
966	1449	49
967	1450	47
968	1451	46
969	1453	44
970	1454	43
971	1455	41
972	1456	40
973	1458	38
974	1459	37
975	1460	35
976	1462	34
977	1463	32
978	1465	31
979	1466	29
980	1468	28
981	1469	26
982	1470	25
983	1471	23
984	1473	22
985	1474	20
986	1475	19
987	1476	17
988	1478	16
989	1479	14
990	1481	13
991	1482	11
992	1483	10
993	1484	8
994	1486	7
995	1487	5
996	1488	4
997	1489	2
998	1490	1
999	1492	0
