iter	RMSE
0	1796.142303
1	1782.32786
2	1769.441236
3	1756.225414
4	1743.124622
5	1730.549191
6	1718.104139
7	1705.865213
8	1694.19251
9	1676.423376
10	1665.493967
11	1654.204025
12	1642.923444
13	1631.891379
14	1621.148503
15	1611.60356
16	1600.96539
17	1590.574516
18	1580.314304
19	1571.646707
20	1565.773452
21	1555.676656
22	1545.816559
23	1532.68204
24	1522.83353
25	1513.455622
26	1507.848212
27	1498.590277
28	1492.917098
29	1486.952288
30	1479.875207
31	1474.614147
32	1469.416556
33	1460.211989
34	1451.075588
35	1440.513704
36	1431.506444
37	1422.787314
38	1416.886004
39	1412.243649
40	1403.855315
41	1395.268812
42	1386.823015
43	1378.549339
44	1366.19681
45	1358.094745
46	1350.751279
47	1342.468294
48	1334.769856
49	1329.034705
50	1321.267883
51	1316.085182
52	1308.569922
53	1301.157682
54	1296.333367
55	1289.210044
56	1283.935827
57	1273.375398
58	1269.871244
59	1262.865631
60	1256.042001
61	1249.39764
62	1242.781249
63	1236.072976
64	1229.763924
65	1220.168872
66	1215.392379
67	1209.31343
68	1206.177583
69	1202.464178
70	1196.436185
71	1190.566642
72	1187.580249
73	1181.827802
74	1177.514943
75	1173.877689
76	1168.182086
77	1163.988826
78	1158.397594
79	1150.252865
80	1144.832771
81	1141.894532
82	1136.616149
83	1128.861475
84	1123.771416
85	1121.784172
86	1114.388896
87	1109.463615
88	1104.460033
89	1102.073656
90	1097.314017
91	1092.719402
92	1089.980329
93	1085.35289
94	1080.889624
95	1076.515473
96	1072.181226
97	1067.96331
98	1065.800362
99	1063.194462
100	1059.767154
101	1055.628706
102	1053.272605
103	1049.328373
104	1046.958303
105	1042.91238
106	1037.055058
107	1033.303128
108	1029.328413
109	1027.299706
110	1023.63947
111	1020.041669
112	1016.453725
113	1014.565674
114	1013.104645
115	1009.676827
116	1007.771596
117	1004.418891
118	1000.971676
119	997.6985353
120	996.423486
121	993.2696434
122	990.1741054
123	987.0699546
124	984.6955829
125	981.7708861
126	978.8836728
127	976.0024375
128	973.2155321
129	970.4254798
130	969.2570522
131	966.6172895
132	963.9716492
133	962.2970319
134	958.1448595
135	955.6216787
136	953.1419725
137	949.184216
138	947.5977825
139	945.2561916
140	942.9663584
141	940.7309113
142	937.0835777
143	934.9022682
144	932.756152
145	929.2849074
146	927.8970171
147	926.4271132
148	924.3903986
149	922.359202
150	919.9460407
151	918.6804127
152	917.5396338
153	916.0718899
154	915.1176262
155	914.042454
156	912.9946799
157	910.0340991
158	908.1686266
159	906.7773922
160	903.9825303
161	901.2371383
162	899.4171362
163	897.7113321
164	895.9634116
165	894.3340571
166	892.7645824
167	891.1761726
168	889.5700593
169	888.6705957
170	887.1485926
171	885.6105728
172	884.8073589
173	882.8586928
174	881.3954857
175	880.0290751
176	879.0920248
177	878.0227237
178	876.6524151
179	875.3119829
180	873.2353388
181	872.5888115
182	871.2958429
183	870.5912192
184	869.3112395
185	868.0290366
186	866.7774821
187	865.5407881
188	864.3845035
189	863.2397714
190	861.4499017
191	859.7190094
192	858.636428
193	857.5353298
194	856.4392621
195	855.3652243
196	853.794689
197	852.2632952
198	851.2849005
199	850.3150544
200	849.4270544
201	848.5032737
202	847.0878038
203	846.2496207
204	845.4139328
205	844.5826778
206	843.9415186
207	843.0507021
208	842.4377197
209	841.150822
210	840.5750621
211	839.7162748
212	838.4840718
213	837.7389247
214	837.0116983
215	836.4325864
216	835.790438
217	835.2731092
218	834.7838437
219	834.0372436
220	833.3429254
221	832.6604527
222	832.1867843
223	831.1435107
224	830.4581602
225	829.8205403
226	829.2015161
227	828.5976421
228	827.9870753
229	827.4090681
230	826.4773605
231	825.9066767
232	825.3575628
233	824.8290202
234	823.9541083
235	823.4984549
236	823.0859264
237	822.5817465
238	822.155065
239	821.3387791
240	820.8453874
241	820.4732616
242	820.0381846
243	819.5676377
244	819.1062079
245	818.3658523
246	817.8933122
247	817.5507089
248	817.1104384
249	816.7793629
250	816.3424561
251	816.0149716
252	815.5778122
253	815.1747399
254	814.7806749
255	814.3291872
256	813.9264766
257	813.623804
258	813.2589737
259	812.8686183
260	812.5831312
261	812.309011
262	811.9316173
263	811.5494297
264	811.1873507
265	810.8375259
266	810.4937327
267	810.2364856
268	809.9879086
269	809.6464296
270	809.3177499
271	808.9894336
272	808.6757932
273	808.3498465
274	808.0394328
275	807.8213649
276	807.6117946
277	807.319599
278	807.033353
279	806.7544593
280	806.5335681
281	806.3369567
282	806.0636045
283	805.7964981
284	805.5164221
285	805.200494
286	804.9517763
287	804.6883288
288	804.4999446
289	804.3160443
290	804.0683313
291	803.8188815
292	803.6436897
293	803.4756252
294	803.189137
295	803.0280531
296	802.7883135
297	802.555361
298	802.3576747
299	802.1416368
300	801.8789627
301	801.728364
302	801.5132347
303	801.3686722
304	801.1170513
305	800.9196973
306	800.7178176
307	800.5789325
308	800.3897484
309	800.2011303
310	799.9683254
311	799.7839818
312	799.5607143
313	799.3880257
314	799.1740248
315	799.0006471
316	798.8714074
317	798.710549
318	798.509
319	798.3474459
320	798.2232752
321	798.0658735
322	797.9266177
323	797.7377558
324	797.5891461
325	797.4581927
326	797.3117439
327	797.1347781
328	797.0027268
329	796.8484145
330	796.681999
331	796.5066073
332	796.3996196
333	796.2332903
334	796.0711755
335	795.9140528
336	795.8150155
337	795.6875722
338	795.5637925
339	795.4483086
340	795.3532612
341	795.2072654
342	795.1589562
343	795.0459391
344	794.8944772
345	794.7433344
346	794.6026502
347	794.459015
348	794.3235592
349	794.235181
350	794.1037249
351	794.0190447
352	793.8903494
353	793.7643743
354	793.6708709
355	793.5327828
356	793.4436345
357	793.3160108
358	793.1834589
359	793.1431691
360	793.0227292
361	792.9031138
362	792.7771909
363	792.6923937
364	792.6203175
365	792.5054832
366	792.3860596
367	792.2709034
368	792.233125
369	792.1963284
370	792.1150488
371	792.0036142
372	791.9387101
373	791.8372458
374	791.761238
375	791.7264604
376	791.6641426
377	791.5724173
378	791.49898
379	791.3986881
380	791.2993108
381	791.19201
382	791.0760007
383	790.9790935
384	790.9487165
385	790.8830806
386	790.7943452
387	790.7321612
388	790.6301651
389	790.5443119
390	790.5151718
391	790.4284869
392	790.3395384
393	790.2783958
394	790.2260538
395	790.1660826
396	790.0876648
397	790.0038726
398	789.9222944
399	789.842863
400	789.7651494
401	789.6415754
402	789.5631378
403	789.4875246
404	789.4103682
405	789.3405121
406	789.2501361
407	789.1848198
408	789.0975421
409	789.0489813
410	788.9646483
411	788.941436
412	788.8936244
413	788.8021594
414	788.735573
415	788.6659237
416	788.5967415
417	788.5751042
418	788.5146806
419	788.4527507
420	788.3860902
421	788.3432942
422	788.2064623
423	788.1471239
424	788.0665959
425	788.0193505
426	787.8866338
427	787.8298375
428	787.8058756
429	787.7590552
430	787.7056982
431	787.6300031
432	787.5849884
433	787.5313733
434	787.4791526
435	787.4573379
436	787.4000245
437	787.3568204
438	787.3077247
439	787.1926629
440	787.1259014
441	787.1062556
442	787.0579735
443	787.0226152
444	786.960245
445	786.9138083
446	786.862527
447	786.8435006
448	786.8093588
449	786.7768883
450	786.7377344
451	786.6131555
452	786.5808064
453	786.4209581
454	786.378404
455	786.2612329
456	786.2013673
457	786.1350386
458	786.0840563
459	786.0345055
460	785.9335961
461	785.8501687
462	785.8336997
463	785.8054461
464	785.7688762
465	785.7292529
466	785.6806193
467	785.6263982
468	785.5914266
469	785.5574872
470	785.4163541
471	785.3740691
472	785.3616007
473	785.2559572
474	785.2151674
475	785.1954317
476	785.1859694
477	785.1571051
478	785.1414793
479	785.0123452
480	784.9972612
481	784.9463537
482	784.9171285
483	784.872814
484	784.7479629
485	784.6662467
486	784.6359979
487	784.6219571
488	784.6083747
489	784.595233
490	784.5179385
491	784.5052321
492	784.4765872
493	784.4642961
494	784.4525574
495	784.365196
496	784.2598924
497	784.2483371
498	784.2155959
499	784.2046466
500	784.1552822
501	784.1236639
502	784.0118411
503	783.9640412
504	783.8956368
505	783.8482008
506	783.7539402
507	783.7342192
508	783.6735692
509	783.6544806
510	783.6229168
511	783.6125859
512	783.6023115
513	783.5437329
514	783.5156887
515	783.4215441
516	783.3943437
517	783.2936584
518	783.2047553
519	783.1671456
520	783.1410916
521	783.1346237
522	783.1092816
523	783.0137867
524	782.9572587
525	782.945011
526	782.9321788
527	782.8596304
528	782.7913922
529	782.7813562
530	782.74627
531	782.739154
532	782.7163344
533	782.7109063
534	782.6421855
535	782.5721884
536	782.5502641
537	782.5289426
538	782.5200724
539	782.4865762
540	782.4374175
541	782.4168134
542	782.4083524
543	782.3566567
544	782.3005139
545	782.292311
546	782.234389
547	782.2261142
548	782.2069179
549	782.1992995
550	782.1156561
551	782.0542221
552	782.0218759
553	782.0141011
554	782.0109969
555	781.9928778
556	781.9611294
557	781.9586978
558	781.8786013
559	781.861223
560	781.8493383
561	781.8324282
562	781.7968278
563	781.7480715
564	781.7005561
565	781.6947461
566	781.6882487
567	781.6722496
568	781.633491
569	781.6178878
570	781.590407
571	781.5843189
572	781.5383194
573	781.5234996
574	781.4645036
575	781.4586896
576	781.4305697
577	781.3875374
578	781.3214165
579	781.3157793
580	781.2678452
581	781.263359
582	781.2579538
583	781.2305773
584	781.2128401
585	781.2076188
586	781.2005439
587	781.1950115
588	781.1746692
589	781.1113132
590	781.1068106
591	781.1020077
592	781.0996749
593	781.0855259
594	781.0780122
595	781.0387055
596	781.0236345
597	781.0043965
598	780.9860359
599	780.9815611
600	780.9519172
601	780.9368238
602	780.9197234
603	780.8861105
604	780.8817998
605	780.8763525
606	780.8721266
607	780.8680488
608	780.8629294
609	780.8590604
610	780.8428168
611	780.8063512
612	780.7466069
613	780.742865
614	780.7392397
615	780.7327144
616	780.6842457
617	780.6687912
618	780.6038114
619	780.6003683
620	780.5970307
621	780.5937943
622	780.5906554
623	780.5870411
624	780.5730537
625	780.5678627
626	780.4952555
627	780.4922514
628	780.4893373
629	780.4865066
630	780.4530564
631	780.4489092
632	780.4462207
633	780.443589
634	780.3813644
635	780.3787946
636	780.3761665
637	780.3631243
638	780.3606217
639	780.335095
640	780.3116136
641	780.3091747
642	780.3058763
643	780.293282
644	780.2752747
645	780.2636095
646	780.261767
647	780.2594628
648	780.2284281
649	780.2247864
650	780.2205296
651	780.2157048
652	780.1817708
653	780.169042
654	780.1386861
655	780.0810925
656	780.0601981
657	780.0481911
